elevation,label,ndvi,slope,treecover2000
415,1,0.3768846392631531,1.814779186440465,71
1113,1,0.5558330416679382,14.56029882834678,48
109,1,0.4195348024368286,2.4476643298759098,87
57,1,0.5011648535728455,0.9279225431335888,95
1708,1,0.3987831175327301,15.583419960544424,54
29,1,0.5034114718437195,5.00171690062637,99
158,0,0.6156959533691406,7.939062595367432,99
9,1,0.4368152618408203,3.9485400119214566,76
473,1,0.4444378018379211,15.91056930551703,96
19,1,0.5498310327529907,2.929690402093036,49
118,0,0.4746188819408417,5.369998689617262,79
446,0,0.1750206500291824,2.416340192985941,37
1232,1,0.1383444368839264,5.7549151660823945,88
173,1,0.4625434875488281,2.377161000614316,63
1507,1,0.2785778045654297,0.927409936849242,36
255,1,0.3185735642910003,4.656703472137451,33
474,1,0.4142002761363983,2.226097348688432,51
144,1,0.5943408608436584,2.164580683062793,84
602,1,0.5487374663352966,2.9325667678234493,100
82,1,0.6779268980026245,1.4393281936645508,99
203,1,0.4067953526973724,1.336872185174112,100
979,1,0.4304336607456207,21.787621820902277,95
452,1,0.3967306613922119,2.2956887808783613,89
372,1,0.2797117531299591,2.0770489960795158,63
85,1,0.1290945410728454,12.178909623764874,89
193,1,0.4343214333057403,2.7802885155287558,85
36,1,0.4723740816116333,2.342708439261642,64
5,0,0.5637157559394836,0.9274099368611016,90
181,1,0.4801590740680694,3.2325428772582563,85
441,1,0.3720096945762634,31.960320752414688,96
285,1,0.6177117824554443,12.198243988011752,95
242,1,0.4588924944400787,1.8803158697733295,97
259,1,0.4896615743637085,9.278753844837548,100
2377,1,0.1580578833818435,12.009908200015143,73
240,1,0.4885636866092682,2.0905901523392862,70
104,1,0.4122010171413421,1.8543341688058628,49
44,1,0.5532213449478149,7.932616569670789,52
14,1,0.4772228598594665,2.073174579082182,97
122,1,0.4634811580181122,3.4931416511535645,55
1889,0,0.4843884706497192,1.3198998859544124,49
39,0,0.5122178792953491,11.922093256959466,82
796,1,0.2275515794754028,6.3456500458615945,97
